"","gare_de_depart","gare_d_arrivee","lon_depart","lat_depart","lon_arrivee","lat_arrivee","postcode_depart","postcode_arrivee","country_depart","country_arrivee","CODE_DEPT_depart","CODE_DEPT_arrivee","CODE_DEPT","cote"
"91","PARIS MONTPARNASSE","QUIMPER",2.3218471,48.8408073,-4.1024782,47.9960325,75014,29000,"France","France","75","29","29",4.77451440514881
"92","PARIS MONTPARNASSE","RENNES",2.3218471,48.8408073,-1.6800198,48.1113387,75014,35000,"France","France","75","35","35",10.2903714493746
"93","PARIS MONTPARNASSE","ST MALO",2.3218471,48.8408073,-2.015418,48.6454528,75014,35400,"France","France","75","35","35",2.74832823490247
"94","PARIS MONTPARNASSE","ST PIERRE DES CORPS",2.3218471,48.8408073,0.7189761,47.3898152,75014,37700,"France","France","75","37","37",9.41104800189241
"95","PARIS MONTPARNASSE","TOULOUSE MATABIAU",2.3218471,48.8408073,1.4539572,43.6112457,75014,31500,"France","France","75","31","31",3.59132737511258
"96","PARIS MONTPARNASSE","TOURS",2.3218471,48.8408073,0.6889268,47.3900474,75014,37000,"France","France","75","37","37",5.42884158985542
"97","PARIS MONTPARNASSE","VANNES",2.3218471,48.8408073,-2.7599079,47.6586772,75014,56000,"France","France","75","56","56",5.40766369526009
"98","PARIS NORD","ARRAS",3.0697335,50.6353896,2.7772211,50.291048,59800,62000,"France","France","59","62","62",7.0160662873685
"99","PARIS NORD","DOUAI",3.0697335,50.6353896,3.0761377,50.3703683,59800,59500,"France","France","59","59","59",5.7021912814623
"100","PARIS NORD","DUNKERQUE",3.0697335,50.6353896,2.3772525,51.0347708,59800,59140,"France","France","59","59","59",6.12984774343972
"101","PARIS NORD","LILLE",3.0697335,50.6353896,3.0706414,50.6305089,59800,59033,"France","France","59","59","59",12.4728190607885
"102","PARIS VAUGIRARD","BORDEAUX ST JEAN",2.26862118329893,48.8343161,-0.555906,44.8264016,75015,33800,"France","France","75","33","33",6.86052940123714
"103","PARIS VAUGIRARD","NANTES",2.26862118329893,48.8343161,-1.5541362,47.2186371,75015,44000,"France","France","75","44","44",5.10482278067986
"104","PARIS VAUGIRARD","RENNES",2.26862118329893,48.8343161,-1.6800198,48.1113387,75015,35000,"France","France","75","35","35",8.19806281227986
"105","PERPIGNAN","PARIS LYON",2.8953121,42.6985304,2.3733881,48.8469697,66000,75012,"France","France","66","75","75",3.86113735902642
"106","POITIERS","PARIS MONTPARNASSE",0.340196,46.5802596,2.3218471,48.8408073,86000,75014,"France","France","86","75","75",9.41034605177958
"107","QUIMPER","PARIS MONTPARNASSE",-4.1024782,47.9960325,2.3218471,48.8408073,29000,75014,"France","France","29","75","75",4.91830527771202
"108","REIMS","PARIS EST",4.031926,49.2577886,2.245182,48.8400023,51100,92100,"France","France","51","92","92",6.41747795583175
"109","RENNES","LYON PART DIEU",-1.6800198,48.1113387,4.8601735,45.7605725,35000,69003,"France","France","35","69","69",2.60720358721973
"110","RENNES","PARIS MONTPARNASSE",-1.6800198,48.1113387,2.3218471,48.8408073,35000,75014,"France","France","35","75","75",10.2051076377158
"111","RENNES","PARIS VAUGIRARD",-1.6800198,48.1113387,2.26862118329893,48.8343161,35000,75015,"France","France","35","75","75",7.03331205026558
"112","SAINT ETIENNE CHATEAUCREUX","PARIS LYON",4.3994367,45.4433433,2.3733881,48.8469697,42007,75012,"France","France","42","75","75",3.68679800478816
"113","ST MALO","PARIS MONTPARNASSE",-2.015418,48.6454528,2.3218471,48.8408073,35400,75014,"France","France","35","75","75",2.40906182229722
"114","ST PIERRE DES CORPS","PARIS MONTPARNASSE",0.7189761,47.3898152,2.3218471,48.8408073,37700,75014,"France","France","37","75","75",9.51076534670612
"115","STRASBOURG","NANTES",7.7507127,48.584614,-1.5541362,47.2186371,67091,44000,"France","France","67","44","44",1.15282970228666
"116","STRASBOURG","PARIS EST",7.7507127,48.584614,2.245182,48.8400023,67091,92100,"France","France","67","92","92",12.28874819461
"117","TOULON","PARIS LYON",5.9304919,43.1257311,2.3733881,48.8469697,83800,75012,"France","France","83","75","75",6.01257097568643
"118","TOULOUSE MATABIAU","PARIS MONTPARNASSE",1.4539572,43.6112457,2.3218471,48.8408073,31500,75014,"France","France","31","75","75",4.35631038934517
"119","TOURCOING","BORDEAUX ST JEAN",3.1605714,50.7235038,-0.555906,44.8264016,59200,33800,"France","France","59","33","33",1.41822075570011
"120","TOURCOING","MARSEILLE ST CHARLES",3.1605714,50.7235038,5.3811746,43.3032722,59200,13001,"France","France","59","13","13",4.20838111081744
"121","TOURS","PARIS MONTPARNASSE",0.6889268,47.3900474,2.3218471,48.8408073,37000,75014,"France","France","37","75","75",5.89933415447584
"122","VALENCE ALIXAN","PARIS LYON",5.0199786,44.972937,2.3733881,48.8469697,26300,75012,"France","France","26","75","75",NA
"123","VANNES","PARIS MONTPARNASSE",-2.7599079,47.6586772,2.3218471,48.8408073,56000,75014,"France","France","56","75","75",5.29712646105359
